Country_Code,Country,DESC,Description,Sex,Age,Minutes_per_day
AUS,Australia,UPW,Unpaid work,Women,15-64,311.0
AUS,Australia,UPW,Unpaid work,Men,15-64,171.59583
AUT,Austria,UPW,Unpaid work,Women,15-64,269.172
AUT,Austria,UPW,Unpaid work,Men,15-64,135.28297
BEL,Belgium,UPW,Unpaid work,Women,15-64,237.32297
BEL,Belgium,UPW,Unpaid work,Men,15-64,144.17238
CAN,Canada,UPW,Unpaid work,Women,15-64,223.6564
CAN,Canada,UPW,Unpaid work,Men,15-64,148.13789
DNK,Denmark,UPW,Unpaid work,Women,15-64,242.80872
DNK,Denmark,UPW,Unpaid work,Men,15-64,186.13608
FIN,Finland,UPW,Unpaid work,Women,15-64,235.76947
FIN,Finland,UPW,Unpaid work,Men,15-64,157.46492
FRA,France,UPW,Unpaid work,Women,15-64,224.03085
FRA,France,UPW,Unpaid work,Men,15-64,134.93945
DEU,Germany,UPW,Unpaid work,Women,15-64,242.27838
DEU,Germany,UPW,Unpaid work,Men,15-64,150.43201
GRC,Greece,UPW,Unpaid work,Women,15-64,259.48148
GRC,Greece,UPW,Unpaid work,Men,15-64,95.084076
HUN,Hungary,UPW,Unpaid work,Women,15-64,293.76733
HUN,Hungary,UPW,Unpaid work,Men,15-64,162.34105
IRL,Ireland,UPW,Unpaid work,Women,15-64,292.5083
IRL,Ireland,UPW,Unpaid work,Men,15-64,126.97815
ITA,Italy,UPW,Unpaid work,Women,15-64,306.33594
ITA,Italy,UPW,Unpaid work,Men,15-64,130.70905
JPN,Japan,UPW,Unpaid work,Women,15-64,224.30183
JPN,Japan,UPW,Unpaid work,Men,15-64,40.767059
KOR,Korea,UPW,Unpaid work,Women,15-64,215.00894
KOR,Korea,UPW,Unpaid work,Men,15-64,48.994484
MEX,Mexico,UPW,Unpaid work,Women,15-64,331.29083
MEX,Mexico,UPW,Unpaid work,Men,15-64,131.41922
NLD,Netherlands,UPW,Unpaid work,Women,15-64,224.94611
NLD,Netherlands,UPW,Unpaid work,Men,15-64,145.41707
NZL,New Zealand,UPW,Unpaid work,Women,15-64,264.0
NZL,New Zealand,UPW,Unpaid work,Men,15-64,141.0
NOR,Norway,UPW,Unpaid work,Women,15-64,227.40991
NOR,Norway,UPW,Unpaid work,Men,15-64,168.48694
POL,Poland,UPW,Unpaid work,Women,15-64,295.00824
POL,Poland,UPW,Unpaid work,Men,15-64,158.78271
PRT,Portugal,UPW,Unpaid work,Women,15-64,328.15643
PRT,Portugal,UPW,Unpaid work,Men,15-64,96.268341
ESP,Spain,UPW,Unpaid work,Women,15-64,289.1279
ESP,Spain,UPW,Unpaid work,Men,15-64,145.90932
SWE,Sweden,UPW,Unpaid work,Women,15-64,220.15288
SWE,Sweden,UPW,Unpaid work,Men,15-64,171.0
TUR,Turkey,UPW,Unpaid work,Women,15-64,305.04739
TUR,Turkey,UPW,Unpaid work,Men,15-64,67.591736
GBR,United Kingdom,UPW,Unpaid work,Women,15-64,248.63229
GBR,United Kingdom,UPW,Unpaid work,Men,15-64,140.0818
USA,United States,UPW,Unpaid work,Women,15-64,271.28406
USA,United States,UPW,Unpaid work,Men,15-64,165.84395
CHN,China (People's Republic of),UPW,Unpaid work,Women,15-64,234.0
CHN,China (People's Republic of),UPW,Unpaid work,Men,15-64,91.0
EST,Estonia,UPW,Unpaid work,Women,15-64,249.21239
EST,Estonia,UPW,Unpaid work,Men,15-64,160.16359
IND,India,UPW,Unpaid work,Women,15-64,351.9353
IND,India,UPW,Unpaid work,Men,15-64,51.767242
LVA,Latvia,UPW,Unpaid work,Women,15-64,253.25412
LVA,Latvia,UPW,Unpaid work,Men,15-64,129.7269
SVN,Slovenia,UPW,Unpaid work,Women,15-64,286.19876
SVN,Slovenia,UPW,Unpaid work,Men,15-64,166.4624
ZAF,South Africa,UPW,Unpaid work,Women,15-64,249.58841
ZAF,South Africa,UPW,Unpaid work,Men,15-64,102.93914
AUS,Australia,PCA,Personal care,Women,15-64,666.0
AUS,Australia,PCA,Personal care,Men,15-64,649.25433
AUT,Austria,PCA,Personal care,Women,15-64,640.78497
AUT,Austria,PCA,Personal care,Men,15-64,623.62311
BEL,Belgium,PCA,Personal care,Women,15-64,677.39722
BEL,Belgium,PCA,Personal care,Men,15-64,648.45746
CAN,Canada,PCA,Personal care,Women,15-64,652.76111
CAN,Canada,PCA,Personal care,Men,15-64,621.77661
DNK,Denmark,PCA,Personal care,Women,15-64,673.37854
DNK,Denmark,PCA,Personal care,Men,15-64,643.03949
FIN,Finland,PCA,Personal care,Women,15-64,650.72681
FIN,Finland,PCA,Personal care,Men,15-64,630.11621
FRA,France,PCA,Personal care,Women,15-64,760.88806
FRA,France,PCA,Personal care,Men,15-64,742.95538
DEU,Germany,PCA,Personal care,Women,15-64,658.66205
DEU,Germany,PCA,Personal care,Men,15-64,637.57751
GRC,Greece,PCA,Personal care,Women,15-64,679.23138
GRC,Greece,PCA,Personal care,Men,15-64,689.48517
HUN,Hungary,PCA,Personal care,Women,15-64,679.27179
HUN,Hungary,PCA,Personal care,Men,15-64,686.29309
IRL,Ireland,PCA,Personal care,Women,15-64,623.13239
IRL,Ireland,PCA,Personal care,Men,15-64,594.72986
ITA,Italy,PCA,Personal care,Women,15-64,705.32733
ITA,Italy,PCA,Personal care,Men,15-64,710.31842
JPN,Japan,PCA,Personal care,Women,15-64,626.42706
JPN,Japan,PCA,Personal care,Men,15-64,613.23279
KOR,Korea,PCA,Personal care,Women,15-64,679.87683
KOR,Korea,PCA,Personal care,Men,15-64,675.8324
MEX,Mexico,PCA,Personal care,Women,15-64,641.76294
MEX,Mexico,PCA,Personal care,Men,15-64,624.21899
NLD,Netherlands,PCA,Personal care,Women,15-64,696.65802
NLD,Netherlands,PCA,Personal care,Men,15-64,666.23254
NZL,New Zealand,PCA,Personal care,Women,15-64,656.0
NZL,New Zealand,PCA,Personal care,Men,15-64,639.0
NOR,Norway,PCA,Personal care,Women,15-64,641.81549
NOR,Norway,PCA,Personal care,Men,15-64,614.54816
POL,Poland,PCA,Personal care,Women,15-64,666.81372
POL,Poland,PCA,Personal care,Men,15-64,645.25305
PRT,Portugal,PCA,Personal care,Women,15-64,673.74304
PRT,Portugal,PCA,Personal care,Men,15-64,677.23273
ESP,Spain,PCA,Personal care,Women,15-64,686.55231
ESP,Spain,PCA,Personal care,Men,15-64,696.88
SWE,Sweden,PCA,Personal care,Women,15-64,633.43988
SWE,Sweden,PCA,Personal care,Men,15-64,611.0
TUR,Turkey,PCA,Personal care,Women,15-64,684.50616
TUR,Turkey,PCA,Personal care,Men,15-64,679.09766
GBR,United Kingdom,PCA,Personal care,Women,15-64,655.42712
GBR,United Kingdom,PCA,Personal care,Men,15-64,634.91687
USA,United States,PCA,Personal care,Women,15-64,667.41168
USA,United States,PCA,Personal care,Men,15-64,635.36212
CHN,China (People's Republic of),PCA,Personal care,Women,15-64,692.0
CHN,China (People's Republic of),PCA,Personal care,Men,15-64,696.0
EST,Estonia,PCA,Personal care,Women,15-64,663.34558
EST,Estonia,PCA,Personal care,Men,15-64,663.61151
IND,India,PCA,Personal care,Women,15-64,669.86035
IND,India,PCA,Personal care,Men,15-64,702.77191
LVA,Latvia,PCA,Personal care,Women,15-64,643.69354
LVA,Latvia,PCA,Personal care,Men,15-64,639.60291
SVN,Slovenia,PCA,Personal care,Women,15-64,630.43781
SVN,Slovenia,PCA,Personal care,Men,15-64,631.75488
ZAF,South Africa,PCA,Personal care,Women,15-64,694.82947
ZAF,South Africa,PCA,Personal care,Men,15-64,695.37225
AUS,Australia,LEI,Leisure,Women,15-64,269.0
AUS,Australia,LEI,Leisure,Men,15-64,297.03137
AUT,Austria,LEI,Leisure,Women,15-64,274.27515
AUT,Austria,LEI,Leisure,Men,15-64,308.09048
BEL,Belgium,LEI,Leisure,Women,15-64,316.70667
BEL,Belgium,LEI,Leisure,Men,15-64,365.17313
CAN,Canada,LEI,Leisure,Women,15-64,259.66452
CAN,Canada,LEI,Leisure,Men,15-64,297.80487
DNK,Denmark,LEI,Leisure,Women,15-64,319.61255
DNK,Denmark,LEI,Leisure,Men,15-64,339.5426
FIN,Finland,LEI,Leisure,Women,15-64,303.60413
FIN,Finland,LEI,Leisure,Men,15-64,358.7395
FRA,France,LEI,Leisure,Women,15-64,269.74338
FRA,France,LEI,Leisure,Men,15-64,319.1308
DEU,Germany,LEI,Leisure,Women,15-64,315.76834
DEU,Germany,LEI,Leisure,Men,15-64,346.25378
GRC,Greece,LEI,Leisure,Women,15-64,310.60394
GRC,Greece,LEI,Leisure,Men,15-64,375.39032
HUN,Hungary,LEI,Leisure,Women,15-64,256.84116
HUN,Hungary,LEI,Leisure,Men,15-64,308.1571
IRL,Ireland,LEI,Leisure,Women,15-64,286.98392
IRL,Ireland,LEI,Leisure,Men,15-64,337.57703
ITA,Italy,LEI,Leisure,Women,15-64,280.92224
ITA,Italy,LEI,Leisure,Men,15-64,366.09576
JPN,Japan,LEI,Leisure,Women,15-64,266.19537
JPN,Japan,LEI,Leisure,Men,15-64,291.82288
KOR,Korea,LEI,Leisure,Women,15-64,243.97131
KOR,Korea,LEI,Leisure,Men,15-64,272.44778
MEX,Mexico,LEI,Leisure,Women,15-64,159.11086
MEX,Mexico,LEI,Leisure,Men,15-64,186.60216
NLD,Netherlands,LEI,Leisure,Women,15-64,300.22305
NLD,Netherlands,LEI,Leisure,Men,15-64,329.58533
NZL,New Zealand,LEI,Leisure,Women,15-64,295.0
NZL,New Zealand,LEI,Leisure,Men,15-64,306.0
NOR,Norway,LEI,Leisure,Women,15-64,365.84821
NOR,Norway,LEI,Leisure,Men,15-64,370.3389
POL,Poland,LEI,Leisure,Women,15-64,262.41089
POL,Poland,LEI,Leisure,Men,15-64,310.96182
PRT,Portugal,LEI,Leisure,Women,15-64,199.77654
PRT,Portugal,LEI,Leisure,Men,15-64,289.14047
ESP,Spain,LEI,Leisure,Women,15-64,283.99557
ESP,Spain,LEI,Leisure,Men,15-64,347.16925
SWE,Sweden,LEI,Leisure,Women,15-64,306.21265
SWE,Sweden,LEI,Leisure,Men,15-64,338.0
TUR,Turkey,LEI,Leisure,Women,15-64,270.44739
TUR,Turkey,LEI,Leisure,Men,15-64,300.95496
GBR,United Kingdom,LEI,Leisure,Women,15-64,284.67795
GBR,United Kingdom,LEI,Leisure,Men,15-64,326.51575
USA,United States,LEI,Leisure,Women,15-64,265.77472
USA,United States,LEI,Leisure,Men,15-64,305.76767
CHN,China (People's Republic of),LEI,Leisure,Women,15-64,211.0
CHN,China (People's Republic of),LEI,Leisure,Men,15-64,248.0
EST,Estonia,LEI,Leisure,Women,15-64,277.80951
EST,Estonia,LEI,Leisure,Men,15-64,345.31406
IND,India,LEI,Leisure,Women,15-64,220.94849
IND,India,LEI,Leisure,Men,15-64,282.64328
LVA,Latvia,LEI,Leisure,Women,15-64,249.24818
LVA,Latvia,LEI,Leisure,Men,15-64,290.47876
SVN,Slovenia,LEI,Leisure,Women,15-64,283.19666
SVN,Slovenia,LEI,Leisure,Men,15-64,336.93594
ZAF,South Africa,LEI,Leisure,Men,15-64,334.19431
AUS,Australia,OTH,Other,Women,15-64,22.0
AUS,Australia,OTH,Other,Men,15-64,18.062717
AUT,Austria,OTH,Other,Women,15-64,7.2275581
AUT,Austria,OTH,Other,Men,15-64,8.0014725
BEL,Belgium,OTH,Other,Women,15-64,9.0342674
BEL,Belgium,OTH,Other,Men,15-64,8.4929714
CAN,Canada,OTH,Other,Women,15-64,35.63406
CAN,Canada,OTH,Other,Men,15-64,31.768059
DNK,Denmark,OTH,Other,Women,15-64,9.6142054
DNK,Denmark,OTH,Other,Men,15-64,11.214058
FIN,Finland,OTH,Other,Women,15-64,40.008617
FIN,Finland,OTH,Other,Men,15-64,45.119598
FRA,France,OTH,Other,Women,15-64,9.9747171
FRA,France,OTH,Other,Men,15-64,7.8422756
DEU,Germany,OTH,Other,Women,15-64,17.837324
DEU,Germany,OTH,Other,Men,15-64,16.204741
GRC,Greece,OTH,Other,Women,15-64,6.5149975
GRC,Greece,OTH,Other,Men,15-64,5.7688799
HUN,Hungary,OTH,Other,Women,15-64,7.6134486
HUN,Hungary,OTH,Other,Men,15-64,10.551611
IRL,Ireland,OTH,Other,Women,15-64,42.442703
IRL,Ireland,OTH,Other,Men,15-64,39.904442
ITA,Italy,OTH,Other,Women,15-64,14.294777
ITA,Italy,OTH,Other,Men,15-64,12.062819
JPN,Japan,OTH,Other,Women,15-64,51.403179
JPN,Japan,OTH,Other,Men,15-64,42.559521
KOR,Korea,OTH,Other,Women,15-64,31.756468
KOR,Korea,OTH,Other,Men,15-64,23.739212
MEX,Mexico,OTH,Other,Women,15-64,23.21456
MEX,Mexico,OTH,Other,Men,15-64,19.42664
NLD,Netherlands,OTH,Other,Women,15-64,16.739883
NLD,Netherlands,OTH,Other,Men,15-64,13.825583
NZL,New Zealand,OTH,Other,Women,15-64,19.0
NZL,New Zealand,OTH,Other,Men,15-64,16.0
NOR,Norway,OTH,Other,Women,15-64,4.9389901
NOR,Norway,OTH,Other,Men,15-64,9.2430582
POL,Poland,OTH,Other,Women,15-64,12.566577
POL,Poland,OTH,Other,Men,15-64,10.205232
PRT,Portugal,OTH,Other,Women,15-64,7.0391064
PRT,Portugal,OTH,Other,Men,15-64,5.0314465
ESP,Spain,OTH,Other,Women,15-64,13.180323
ESP,Spain,OTH,Other,Men,15-64,13.661777
SWE,Sweden,OTH,Other,Women,15-64,5.0034747
SWE,Sweden,OTH,Other,Men,15-64,7.0
TUR,Turkey,OTH,Other,Women,15-64,46.099934
TUR,Turkey,OTH,Other,Men,15-64,34.116821
GBR,United Kingdom,OTH,Other,Women,15-64,35.057838
GBR,United Kingdom,OTH,Other,Men,15-64,29.869604
USA,United States,OTH,Other,Women,15-64,27.808388
USA,United States,OTH,Other,Men,15-64,19.768225
CHN,China (People's Republic of),OTH,Other,Women,15-64,12.0
CHN,China (People's Republic of),OTH,Other,Men,15-64,15.0
EST,Estonia,OTH,Other,Women,15-64,4.4668403
EST,Estonia,OTH,Other,Men,15-64,6.4666839
IND,India,OTH,Other,Women,15-64,12.552157
IND,India,OTH,Other,Men,15-64,12.246449
LVA,Latvia,OTH,Other,Women,15-64,5.3358335
LVA,Latvia,OTH,Other,Men,15-64,3.2603798
SVN,Slovenia,OTH,Other,Women,15-64,6.0041695
SVN,Slovenia,OTH,Other,Men,15-64,5.0139275
ZAF,South Africa,OTH,Other,Women,15-64,18.698801
ZAF,South Africa,OTH,Other,Men,15-64,13.1774
AUS,Australia,PAW,Paid work or study,Women,15-64,172.0
AUS,Australia,PAW,Paid work or study,Men,15-64,304.05576
AUT,Austria,PAW,Paid work or study,Women,15-64,248.75507
AUT,Austria,PAW,Paid work or study,Men,15-64,364.78339
BEL,Belgium,PAW,Paid work or study,Women,15-64,199.2325
BEL,Belgium,PAW,Paid work or study,Men,15-64,273.70407
CAN,Canada,PAW,Paid work or study,Women,15-64,268.28391
CAN,Canada,PAW,Paid work or study,Men,15-64,340.51254
DNK,Denmark,PAW,Paid work or study,Women,15-64,194.58598
DNK,Denmark,PAW,Paid work or study,Men,15-64,260.06775
FIN,Finland,PAW,Paid work or study,Women,15-64,209.89101
FIN,Finland,PAW,Paid work or study,Men,15-64,248.55974
FRA,France,PAW,Paid work or study,Women,15-64,175.36299
FRA,France,PAW,Paid work or study,Men,15-64,235.13206
DEU,Germany,PAW,Paid work or study,Women,15-64,205.45386
DEU,Germany,PAW,Paid work or study,Men,15-64,289.53189
GRC,Greece,PAW,Paid work or study,Women,15-64,184.53667
GRC,Greece,PAW,Paid work or study,Men,15-64,274.27158
HUN,Hungary,PAW,Paid work or study,Women,15-64,202.50626
HUN,Hungary,PAW,Paid work or study,Men,15-64,272.6571
IRL,Ireland,PAW,Paid work or study,Women,15-64,194.93269
IRL,Ireland,PAW,Paid work or study,Men,15-64,340.81052
ITA,Italy,PAW,Paid work or study,Women,15-64,133.11972
ITA,Italy,PAW,Paid work or study,Men,15-64,220.81396
JPN,Japan,PAW,Paid work or study,Women,15-64,271.52426
JPN,Japan,PAW,Paid work or study,Men,15-64,451.78384
KOR,Korea,PAW,Paid work or study,Women,15-64,269.38647
KOR,Korea,PAW,Paid work or study,Men,15-64,418.98608
MEX,Mexico,PAW,Paid work or study,Women,15-64,236.32854
MEX,Mexico,PAW,Paid work or study,Men,15-64,478.33298
NLD,Netherlands,PAW,Paid work or study,Women,15-64,201.43257
NLD,Netherlands,PAW,Paid work or study,Men,15-64,284.93921
NZL,New Zealand,PAW,Paid work or study,Women,15-64,205.0
NZL,New Zealand,PAW,Paid work or study,Men,15-64,338.0
NOR,Norway,PAW,Paid work or study,Women,15-64,199.98746
NOR,Norway,PAW,Paid work or study,Men,15-64,277.3829
POL,Poland,PAW,Paid work or study,Women,15-64,203.20055
POL,Poland,PAW,Paid work or study,Men,15-64,314.79718
PRT,Portugal,PAW,Paid work or study,Women,15-64,231.28491
PRT,Portugal,PAW,Paid work or study,Men,15-64,372.32706
ESP,Spain,PAW,Paid work or study,Women,15-64,166.75362
ESP,Spain,PAW,Paid work or study,Men,15-64,236.22913
SWE,Sweden,PAW,Paid work or study,Women,15-64,275.1911
SWE,Sweden,PAW,Paid work or study,Men,15-64,313.0
TUR,Turkey,PAW,Paid work or study,Women,15-64,133.94724
TUR,Turkey,PAW,Paid work or study,Men,15-64,358.25012
GBR,United Kingdom,PAW,Paid work or study,Women,15-64,216.20476
GBR,United Kingdom,PAW,Paid work or study,Men,15-64,308.61597
USA,United States,PAW,Paid work or study,Women,15-64,247.01257
USA,United States,PAW,Paid work or study,Men,15-64,331.74963
CHN,China (People's Republic of),PAW,Paid work or study,Women,15-64,291.0
CHN,China (People's Republic of),PAW,Paid work or study,Men,15-64,390.0
EST,Estonia,PAW,Paid work or study,Women,15-64,244.85326
EST,Estonia,PAW,Paid work or study,Men,15-64,264.07236
IND,India,PAW,Paid work or study,Women,15-64,184.70367
IND,India,PAW,Paid work or study,Men,15-64,390.57108
LVA,Latvia,PAW,Paid work or study,Women,15-64,288.46832
LVA,Latvia,PAW,Paid work or study,Men,15-64,376.93106
SVN,Slovenia,PAW,Paid work or study,Women,15-64,234.16261
SVN,Slovenia,PAW,Paid work or study,Men,15-64,299.83286
ZAF,South Africa,PAW,Paid work or study,Women,15-64,195.03345
ZAF,South Africa,PAW,Paid work or study,Men,15-64,294.16318
LUX,Luxembourg,UPW,Unpaid work,Women,15-64,239.61743
LUX,Luxembourg,UPW,Unpaid work,Men,15-64,121.07518
LTU,Lithuania,UPW,Unpaid work,Women,15-64,291.95166
LTU,Lithuania,UPW,Unpaid work,Men,15-64,151.61081
LUX,Luxembourg,PCA,Personal care,Women,15-64,694.01245
LUX,Luxembourg,PCA,Personal care,Men,15-64,676.8634
LTU,Lithuania,PCA,Personal care,Women,15-64,644.79767
LTU,Lithuania,PCA,Personal care,Men,15-64,644.32349
LUX,Luxembourg,LEI,Leisure,Women,15-64,253.02322
LUX,Luxembourg,LEI,Leisure,Men,15-64,299.04138
LTU,Lithuania,LEI,Leisure,Women,15-64,215.29886
LTU,Lithuania,LEI,Leisure,Men,15-64,282.19785
LUX,Luxembourg,OTH,Other,Women,15-64,14.512388
LUX,Luxembourg,OTH,Other,Men,15-64,13.025016
LTU,Lithuania,OTH,Other,Women,15-64,8.6944227
LTU,Lithuania,OTH,Other,Men,15-64,7.6051412
LUX,Luxembourg,PAW,Paid work or study,Women,15-64,238.86639
LUX,Luxembourg,PAW,Paid work or study,Men,15-64,329.99503
LTU,Lithuania,PAW,Paid work or study,Women,15-64,279.25739
LTU,Lithuania,PAW,Paid work or study,Men,15-64,354.26273
